frames,seed,steps,guide,strength,tag,channels,guide_start,x0_only,velocity_source,sample_time_s,run,calibration.rollout_paper_h1,calibration.rollout_paper_h5,calibration.gt_error,calibration.rollout_h1,calibration.rollout_h5,calibration.invalid_frame_rate,holdout.rollout_paper_h1,holdout.rollout_paper_h5,holdout.gt_error,holdout.rollout_h1,holdout.rollout_h5,holdout.invalid_frame_rate,all.rollout_paper_h1,all.rollout_paper_h5,all.gt_error,all.rollout_h1,all.rollout_h5,all.invalid_frame_rate
25,0,50,rollout1,10.0,,all,0.0,False,generated,18.478830337524414,out/runs/25f_seed0_steps50/rollout1_s10,0.21850084699821612,0.8970056344119774,1.3447691670461168,0.1648898059619061,0.7120853351970752,0.09726562500000001,0.2241293357093664,0.9192181034977951,1.4696429570120968,0.1694445983611194,0.7401686364059346,0.09698660714285715,0.22342577462047264,0.9164415448620679,1.4540337332663493,0.16887524931121772,0.7366582237548271,0.09702148437500001
25,0,50,rollout1,3.0,,all,0.0,False,generated,18.5451021194458,out/runs/25f_seed0_steps50/rollout1_s3,0.11936274418170321,0.6092061608685104,1.1950581268246578,0.06681288977204444,0.42068704109394306,0.07539062500000002,0.12862323963060454,0.6522487229033632,1.2796698696222866,0.07088762751752212,0.45695787226087964,0.08465401785714287,0.12746567769949185,0.6468684026490065,1.2690934017725828,0.0703782852993374,0.45242401836501256,0.08349609375
25,0,50,rollout5,0.03,,all,0.0,False,generated,46.90598511695862,out/runs/25f_seed0_steps50/rollout5_s0.03,0.1261154167819687,0.6347150945546949,1.208804690292975,0.05655063956233519,0.4056336804974021,0.13203125000000002,0.14113349907603545,0.6837181443985748,1.3146844714407533,0.06298782106058684,0.4451052966478595,0.1465401785714286,0.13925623878927712,0.6775927631680898,1.301449498797281,0.06218317337330538,0.4401713446290524,0.1447265625
25,0,50,rollout5,0.1,,all,0.0,False,generated,46.68220663070679,out/runs/25f_seed0_steps50/rollout5_s0.1,0.11527083600364268,0.5806365158845802,1.1536201083576967,0.05178866564394345,0.37012963802341786,0.11484375,0.12649026153823223,0.6292865922058898,1.2730384513482942,0.05554895822582068,0.4027385281945946,0.125390625,0.12508783334640855,0.6232053326657261,1.2581111584744695,0.05507892165308602,0.3986624169231975,0.12407226562500001
25,0,50,rollout5,0.3,,all,0.0,False,generated,46.59222197532654,out/runs/25f_seed0_steps50/rollout5_s0.3,0.08665840789145471,0.47361491539971534,1.0499147536215414,0.0378668629095143,0.28578637762616566,0.06562500000000002,0.09683169517508829,0.5130411685857323,1.181001447290523,0.042427792323484224,0.31150157590304645,0.08186383928571428,0.0955600342646341,0.5081128869374802,1.1646156105819003,0.041857676146737986,0.3082871761184363,0.079833984375
25,0,50,rollout5,1.0,,all,0.0,False,generated,45.75776934623718,out/runs/25f_seed0_steps50/rollout5_s1,0.0832906380756063,0.40414525046661764,0.9102222177990751,0.04188388940832265,0.2461299891318419,0.058984375000000006,0.09485093648915645,0.4624656517544347,1.0501519659916838,0.045141823027492964,0.282267709349248,0.06183035714285715,0.09340589918746268,0.4551756015934576,1.0326607474676077,0.04473458132509667,0.27775049432207227,0.061474609375
25,0,50,rollout5,10.0,,all,0.0,False,generated,46.038033962249756,out/runs/25f_seed0_steps50/rollout5_s10,0.2955323949176808,0.8529611415540173,1.2203161738361494,0.20894881940701912,0.5671077842447259,0.09140625000000001,0.3117855738233666,0.8961385211542595,1.2410096515342157,0.21728692234838604,0.588477035626988,0.10044642857142858,0.30975392646015587,0.8907413487042292,1.2384229668219575,0.2162446594807152,0.5858058792042053,0.09931640625000002
25,0,50,rollout5,3.0,,all,0.0,False,generated,45.64471435546875,out/runs/25f_seed0_steps50/rollout5_s3,0.13991564281826907,0.5537687368790711,1.0321128562118962,0.08144108265914365,0.3519387850415657,0.08085937500000001,0.15022856999010167,0.5963588263787403,1.1222556970592812,0.08523184841697307,0.3838582055962227,0.09285714285714287,0.14893945409362264,0.5910350651912816,1.110987841953358,0.08475800269724439,0.3798682780268906,0.09135742187500001
25,1,100,none,0.0,,all,0.0,False,generated,7.481125831604004,out/runs/25f_seed1_steps100/none,0.12527410008405973,0.6269156124810835,1.2211375015195318,0.055586140905823526,0.40777355431008366,0.133984375,0.1380221986000904,0.6796293290121364,1.3174303065654416,0.060823325970384076,0.4445214317969007,0.14425223214285715,0.13642868628558658,0.6730401144457548,1.305393705934703,0.060168677837314014,0.43992794711104855,0.14296874999999998
25,1,100,oracle,0.03,,all,0.0,False,generated,17.455808401107788,out/runs/25f_seed1_steps100/oracle_s0.03,0.12124192294769062,0.6079500514167253,1.1559546447369708,0.05369189651610182,0.39377630068240604,0.127734375,0.13402615719247576,0.659365702627041,1.2486464660856689,0.059527585585507144,0.42984030351159774,0.1380580357142857,0.13242812791187764,0.6529387462257514,1.2370599884170816,0.05879812445183148,0.4253323031579488,0.136767578125
